queried_on,source_endpoint,queried_eppo_code,service,eppocode,prefname,class_id,class_label,bibref,eppo_code,scientific_name,queried_host_eppo_code,relationship_to_query_taxon,taxonomic_group,source_pathogen_code_column,source_pathogen_name_column,biological_text_for_classification,taxonomic_group_clean,biological_class,excluded_group_screening
2026-05-06T14:07:53.270682,/taxons/taxon/LYPES/pests,LYPES,pests,TRSV00,Nepovirus nicotianae,9,Host,"* Šneideris D, Zitikaitė I, Žižytė M, Grigaliūnaitė B, Staniulis J (2012) Identification of nepoviruses in tomato (Lycopersicon esculentum Mill.). Žemdirbystė (= Agriculture) 99, 173-8.",TRSV00,Nepovirus nicotianae,LYPES,Host,,eppocode,prefname,nepovirus nicotianae,,virus,not_detected
2026-05-06T14:07:53.270682,/taxons/taxon/LYPES/pests,LYPES,pests,TRV000,Tobravirus tabaci,9,Host,"* Ben Moussa A, Makni M, Marrakchi M (2000) Identification of the principal viruses infecting tomato crops in Tunisia. EPPO Bulletin 30(2), 293-296.",TRV000,Tobravirus tabaci,LYPES,Host,,eppocode,prefname,tobravirus tabaci,,virus,not_detected
2026-05-06T14:07:53.270682,/taxons/taxon/LYPES/pests,LYPES,pests,TSWV00,Orthotospovirus tomatomaculae,1,Major host,"* Parrella G, Gognalons P, Gebre-Selassie K, Vovlas C, Marchoux G (2003) An update of the host range of tomato spotted wilt virus. Journal of Plant Pathology 85(4), 227-264.
------- Confirmed host.",TSWV00,Orthotospovirus tomatomaculae,LYPES,Major host,,eppocode,prefname,orthotospovirus tomatomaculae,,virus,not_detected
2026-05-06T14:07:53.270682,/taxons/taxon/LYPES/pests,LYPES,pests,TYLCSV,Begomovirus solanumflavusardiniaense,1,Major host,"* Anfoka GH, Abhary M, Haj Ahmad F, Hussein AF, Rezk A, Akad F, Abou-Jawdah Y, Lapidot M, Vidavski F, Nakhla MK, Sobh H, Atamian H, Cohen L, Sobol I, Mazyad H, Maxwell DP, Czosnek H (2008) Survey of tomato yellow leaf curl disease-associated viruses in the Eastern Mediterranean Basin. Journal of Plant Pathology 90(2), 313-322.",TYLCSV,Begomovirus solanumflavusardiniaense,LYPES,Major host,,eppocode,prefname,begomovirus solanumflavusardiniaense,,virus,not_detected
2026-05-06T14:07:53.270682,/taxons/taxon/LYPES/pests,LYPES,pests,TYLCV0,Begomovirus coheni,1,Major host,"* Basak J (2016) Tomato yellow leaf curl virus: a serious threat to tomato plants world wide. Journal of Plant Pathology and Microbiology, 7(4), 346.

* Cohen S, Antignus Y (1994) Tomato yellow leaf curl virus, a whitefly-borne geminivirus of tomatoes. In Advances in disease vector research. Springer New York, pp. 259-288.

* Moriones E, Navas-Castillo J (2000) Tomato yellow leaf curl virus, an emerging virus complex causing epidemics worldwide. Virus Research 71, 123–134.",TYLCV0,Begomovirus coheni,LYPES,Major host,,eppocode,prefname,begomovirus coheni,,virus,not_detected
2026-05-06T14:07:53.270682,/taxons/taxon/LYPES/pests,LYPES,pests,TZSV00,Orthotospovirus tomatozonae,9,Host,"* Dong JH, Cheng XF, Yin YY, Fang Q, Ding M, Li TT, Zhang LZ, Su XX, McBeath JH, Zhang ZK (2008) Characterization of tomato zonate spot virus, a new tospovirus in China. Archives of Virology 153(5), 855-864.",TZSV00,Orthotospovirus tomatozonae,LYPES,Host,,eppocode,prefname,orthotospovirus tomatozonae,,virus,not_detected
2026-05-06T14:07:53.270682,/taxons/taxon/LYPES/pests,LYPES,pests,VERTAA,Verticillium alboatrum sensu lato,9,Host,,VERTAA,Verticillium alboatrum sensu lato,LYPES,Host,,eppocode,prefname,verticillium alboatrum sensu lato,,fungus,not_detected
2026-05-06T14:07:53.270682,/taxons/taxon/LYPES/pests,LYPES,pests,VERTDA,Verticillium dahliae,9,Host,"* Inderbitzin P, Subbarao KV (2014) Verticillium systematics and evolution: how confusion impedes Verticillium wilt management and how to resolve it. Phytopathology 104(6), 564-574. https://doi.org/10.1094/PHYTO-11-13-0315-IA",VERTDA,Verticillium dahliae,LYPES,Host,,eppocode,prefname,verticillium dahliae,,fungus,not_detected
2026-05-06T14:07:53.270682,/taxons/taxon/LYPES/pests,LYPES,pests,VERTNO,Verticillium nonalfalfae,9,Host,"* Inderbitzin P, Subbarao KV (2014) Verticillium systematics and evolution: how confusion impedes Verticillium wilt management and how to resolve it. Phytopathology 104(6), 564-574. https://doi.org/10.1094/PHYTO-11-13-0315-IA",VERTNO,Verticillium nonalfalfae,LYPES,Host,,eppocode,prefname,verticillium nonalfalfae,,fungus,not_detected
2026-05-06T14:07:53.270682,/taxons/taxon/LYPES/pests,LYPES,pests,WMCSV0,Begomovirus citrulli,9,Host,"* Ahmad FH, Odeh W, Anfoka G (2013) First report on the association of Squash leaf curl virus and Watermelon chlorotic stunt virus with Tomato Yellow Leaf Curl Disease. Plant Disease 97(3), 428.  https://doi.org/10.1094/PDIS-08-12-0712-PDN",WMCSV0,Begomovirus citrulli,LYPES,Host,,eppocode,prefname,begomovirus citrulli,,virus,not_detected
2026-05-06T14:07:53.270682,/taxons/taxon/LYPES/pests,LYPES,pests,WMSMOV,Orthotospovirus citrullomaculosi,9,Host,"* Chiemsombat P, Gajanandana O, Warin N, Hongprayoon R, Bhunchoth A, Pongsapich P (2008) Biological and molecular characterization of tospoviruses in Thailand. Archives of Virology 153, 571-577.

* Yin YY, Li TT, Lu X, Gu ZL, Zhao LL, Guo M, Zhao JF, Ding M (2016) First report of Watermelon silver mottle virus infecting tomato in Yunnan, China. Journal of Plant Pathology 98(3), p 681.",WMSMOV,Orthotospovirus citrullomaculosi,LYPES,Host,,eppocode,prefname,orthotospovirus citrullomaculosi,,virus,not_detected
2026-05-06T14:07:53.270682,/taxons/taxon/LYPES/pests,LYPES,pests,XANTAV,Xanthomonas axonopodis pv. vesicatoria (no longer in use),1,Major host,,XANTAV,Xanthomonas axonopodis pv. vesicatoria (no longer in use),LYPES,Major host,,eppocode,prefname,xanthomonas axonopodis pv. vesicatoria (no longer in use),,bacteria,not_detected
2026-05-06T14:07:53.270682,/taxons/taxon/LYPES/pests,LYPES,pests,XANTEU,Xanthomonas euvesicatoria pv. euvesicatoria,1,Major host,"* Ma X, Lewis Ivey ML, Miller SA (2011) First report of Xanthomonas gardneri causing bacterial spot of tomato in Ohio and Michigan. Plant Disease 95(2), p 1584.",XANTEU,Xanthomonas euvesicatoria pv. euvesicatoria,LYPES,Major host,,eppocode,prefname,xanthomonas euvesicatoria pv. euvesicatoria,,bacteria,not_detected
2026-05-06T14:07:53.270682,/taxons/taxon/LYPES/pests,LYPES,pests,XANTGA,Xanthomonas hortorum pv. gardneri,1,Major host,"* Ma X, Lewis Ivey ML, Miller SA (2011) First report of Xanthomona gardneri causing bacterial spot of tomato in Ohio and Michigan. Plant Disease 95(2), p 1584.",XANTGA,Xanthomonas hortorum pv. gardneri,LYPES,Major host,,eppocode,prefname,xanthomonas hortorum pv. gardneri,,bacteria,not_detected
2026-05-06T14:07:53.270682,/taxons/taxon/LYPES/pests,LYPES,pests,XANTPF,Xanthomonas euvesicatoria pv. perforans,1,Major host,"* Aiello D, Scuderi G, Vitale A, Firrao G, Polizzi G, Cirvilleri G (2013) A pith necrosis caused by Xanthomonas perforans on tomato plants. European Journal of Plant Pathology 137(1), 29-41.",XANTPF,Xanthomonas euvesicatoria pv. perforans,LYPES,Major host,,eppocode,prefname,xanthomonas euvesicatoria pv. perforans,,bacteria,not_detected
2026-05-06T14:07:53.270682,/taxons/taxon/LYPES/pests,LYPES,pests,XANTVE,Xanthomonas vesicatoria,1,Major host,"* Roach R, Mann R, Gambly CG, Shivars RG, Rodoni B (2018) Identification of Xanthomonas species associated with bacterial leaf spot of tomato, capsicum and chilli crops in eastern Australia. European Journal of Plant Pathology 150(3), 595-608.",XANTVE,Xanthomonas vesicatoria,LYPES,Major host,,eppocode,prefname,xanthomonas vesicatoria,,bacteria,not_detected
