eppo_code,iso3,country,distribution_status,presence_weight,scientific_name,taxonomic_group,biological_class,country_faostat,fao_item_name,harvested_area_ha,production_tonnes,yield_value,crop_importance_score_production,crop_importance_score_area,tomato_importance_score,crop_importance_score_production_log,crop_importance_score_area_log,tomato_importance_score_log,n_hosts_total,n_tomato_host_records,host_breadth_score,n_countries_present,geo_breadth_score,regulatory_weight,iefp_t_production,iefp_t_area,iefp_t_integrated,iefp_t_integrated_log_sensitivity,is_present_positive,index_interpretation_note
ACHAFU,AIA,AI,X,,,,,,,,,,,,,,,,,,1.0,,0.0,0.75,,,,,False,"IEFP-T exploratorio; nao representa incidencia, severidade ou risco biologico absoluto"
ACHAFU,ARE,AE,C,1.0,,,,United Arab Emirates,Tomatoes,912.2,77269.254,85193.5,0.0012548451458206493,0.0008314291521555453,0.0010431371489880972,0.6275196970780355,0.49013839575947105,0.5588290464187533,,,1.0,,0.0,0.75,0.0,0.0,0.0,0.0,True,"IEFP-T exploratorio; nao representa incidencia, severidade ou risco biologico absoluto"
ACHAFU,ARG,AR,X,,,,,Argentina,Tomatoes,18934.2,1358764.696,71723.56,0.022066206088751292,0.017257669209321997,0.019661937649036645,0.7873689257708786,0.7081261739105332,0.7477475498407059,,,1.0,,0.0,0.75,,,,,False,"IEFP-T exploratorio; nao representa incidencia, severidade ou risco biologico absoluto"
ACHAFU,ASM,AS,B,1.0,,,,,,,,,,,,,,,,,1.0,,0.0,0.75,,,,,True,"IEFP-T exploratorio; nao representa incidencia, severidade ou risco biologico absoluto"
ACHAFU,ATG,AG,T,0.5,,,,Antigua and Barbuda,Tomatoes,14.0,72.664,5642.52,1.180056270193985e-06,1.2760368482983592e-05,6.9702123765887885e-06,0.23971696412762128,0.19470854623825834,0.2172127551829398,,,1.0,,0.0,0.75,0.0,0.0,0.0,0.0,True,"IEFP-T exploratorio; nao representa incidencia, severidade ou risco biologico absoluto"
ACHAFU,BGD,BD,X,,,,,Bangladesh,Tomatoes,29974.4,453260.0,15111.3,0.007360898175549456,0.02732031350402453,0.017340605839786992,0.726158151414856,0.7411537121695279,0.7336559317921919,,,1.0,,0.0,0.75,,,,,False,"IEFP-T exploratorio; nao representa incidencia, severidade ou risco biologico absoluto"
ACHAFU,BOL,BO,X,,,,,Bolivia (Plurinational State of),Tomatoes,5137.2,81150.204,15808.420000000002,0.0013178713951574508,0.004682326069341665,0.003000098732249558,0.6302519463455788,0.6143457070577399,0.6222988267016594,,,1.0,,0.0,0.75,,,,,False,"IEFP-T exploratorio; nao representa incidencia, severidade ou risco biologico absoluto"
ACHAFU,BRA,BR,A | X,1.0,,,,Brazil,Tomatoes,55568.2,3965727.4,71351.28,0.06440302604109449,0.05064790770972349,0.05752546687540899,0.8470882112976056,0.7855340742554174,0.8163111427765115,,,1.0,,0.0,0.75,0.0,0.0,0.0,0.0,True,"IEFP-T exploratorio; nao representa incidencia, severidade ou risco biologico absoluto"
ACHAFU,BRB,BB,X,,,,,Barbados,Tomatoes,40.0,738.87,18411.920000000002,1.1999176708662195e-05,3.645819566566741e-05,2.42286861871648e-05,0.368340219628635,0.2670054706388767,0.3176728451337558,,,1.0,,0.0,0.75,,,,,False,"IEFP-T exploratorio; nao representa incidencia, severidade ou risco biologico absoluto"
ACHAFU,BRN,BN,X,,,,,Brunei Darussalam,Tomatoes,12.0,141.13400000000001,11711.060000000001,2.292002389595369e-06,1.0937458699700223e-05,6.614730544647796e-06,0.2763619011854729,0.18441960948981723,0.23039075533764505,,,1.0,,0.0,0.75,,,,,False,"IEFP-T exploratorio; nao representa incidencia, severidade ou risco biologico absoluto"
ACHAFU,CAF,CF,X,,,,,,,,,,,,,,,,,,1.0,,0.0,0.75,,,,,False,"IEFP-T exploratorio; nao representa incidencia, severidade ou risco biologico absoluto"
ACHAFU,CHL,CL,F,0.0,,,,Chile,Tomatoes,11961.6,818021.918,68365.7,0.013284596134151847,0.010902458831861183,0.012093527483006515,0.7590768065626174,0.6751070417554872,0.7170919241590523,,,1.0,,0.0,0.75,0.0,0.0,0.0,0.0,False,"IEFP-T exploratorio; nao representa incidencia, severidade ou risco biologico absoluto"
ACHAFU,CHN,CN,A | B | X,1.0,,,,China,Tomatoes,2190435.4,123061709.666,56183.79,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,,0.0,0.75,0.0,0.0,0.0,0.0,True,"IEFP-T exploratorio; nao representa incidencia, severidade ou risco biologico absoluto"
ACHAFU,CIV,CI,X,,,,,Côte d'Ivoire,Tomatoes,4908.4,51171.96,10422.68,0.0008310276375662749,0.0044737851901340475,0.002652406413850161,0.6045434190565248,0.6110705881980205,0.6078070036272727,,,1.0,,0.0,0.75,,,,,False,"IEFP-T exploratorio; nao representa incidencia, severidade ou risco biologico absoluto"
ACHAFU,CMR,CM,X,,,,,Cameroon,Tomatoes,64224.0,1198229.508,18643.72,0.01945913029900437,0.058537278960795594,0.03899820462989998,0.7803588756096858,0.7959425523879426,0.7881507139988142,,,1.0,,0.0,0.75,,,,,False,"IEFP-T exploratorio; nao representa incidencia, severidade ou risco biologico absoluto"
ACHAFU,COL,CO,X,,,,,Colombia,Tomatoes,17423.2,871160.9820000001,50064.9,0.014147569348748341,0.01588046086805141,0.015014015108399876,0.7625858553861421,0.7021467925491826,0.7323663239676623,,,1.0,,0.0,0.75,,,,,False,"IEFP-T exploratorio; nao representa incidencia, severidade ou risco biologico absoluto"
ACHAFU,CRI,CR,T,0.5,,,,Costa Rica,Tomatoes,1091.2,57130.02,52380.14,0.0009277859506400387,0.000994579577759407,0.0009611827641997228,0.6106839866736069,0.5030080739283037,0.5568460303009553,,,1.0,,0.0,0.75,0.0,0.0,0.0,0.0,True,"IEFP-T exploratorio; nao representa incidencia, severidade ou risco biologico absoluto"
ACHAFU,CUB,CU,X,,,,,Cuba,Tomatoes,32296.4,249144.22000000003,8147.219999999999,0.004046077823868624,0.029436711762416523,0.016741394793142572,0.6927929063842435,0.7465181413663884,0.719655523875316,,,1.0,,0.0,0.75,,,,,False,"IEFP-T exploratorio; nao representa incidencia, severidade ou risco biologico absoluto"
ACHAFU,DMA,DM,X,,,,,Dominica,Tomatoes,35.2,426.742,12081.380000000001,6.930248442903248e-06,3.208321218578732e-05,1.9506730314345287e-05,0.3377893408149212,0.2580530017894281,0.29792117130217466,,,1.0,,0.0,0.75,,,,,False,"IEFP-T exploratorio; nao representa incidencia, severidade ou risco biologico absoluto"
ACHAFU,DOM,DO,X,,,,,Dominican Republic,Tomatoes,6068.8,256994.958,42372.82,0.0041735730429943284,0.005531437446395059,0.004852505244694693,0.6945226551157938,0.6263258724841366,0.6604242637999652,,,1.0,,0.0,0.75,,,,,False,"IEFP-T exploratorio; nao representa incidencia, severidade ou risco biologico absoluto"
ACHAFU,ECU,EC,X,,,,,Ecuador,Tomatoes,1770.2,50460.75199999999,30488.4,0.0008194776890386391,0.0016134574491841111,0.0012164675691113752,0.603763102113399,0.5377690362097308,0.5707660691615649,,,1.0,,0.0,0.75,,,,,False,"IEFP-T exploratorio; nao representa incidencia, severidade ou risco biologico absoluto"
ACHAFU,ESP,ES,B,1.0,,,,Spain,Tomatoes,52460.0,4252392.0,81009.1,0.0690584311753102,0.04781492361552281,0.058436677395416504,0.8509794432998451,0.781395583829304,0.8161875135645745,,,1.0,,0.0,0.75,0.0,0.0,0.0,0.0,True,"IEFP-T exploratorio; nao representa incidencia, severidade ou risco biologico absoluto"
ACHAFU,ETH,ET,X,,,,,Ethiopia,Tomatoes,12624.2,105313.66,8437.1,0.0017102835629758545,0.011506388843062963,0.006608336203019409,0.6447836973513655,0.6789831439756443,0.6618834206635049,,,1.0,,0.0,0.75,,,,,False,"IEFP-T exploratorio; nao representa incidencia, severidade ou risco biologico absoluto"
ACHAFU,FSM,FM,X,,,,,,,,,,,,,,,,,,1.0,,0.0,0.75,,,,,False,"IEFP-T exploratorio; nao representa incidencia, severidade ou risco biologico absoluto"
ACHAFU,GHA,GH,X,,,,,Ghana,Tomatoes,48318.8,380511.31799999997,7875.039999999999,0.00617946667793787,0.04404040661825626,0.025109936648097065,0.7164039379464419,0.7754833539105433,0.7459436459284926,,,1.0,,0.0,0.75,,,,,False,"IEFP-T exploratorio; nao representa incidencia, severidade ou risco biologico absoluto"
ACHAFU,GLP,GP,X,,,,,,,,,,,,,,,,,,1.0,,0.0,0.75,,,,,False,"IEFP-T exploratorio; nao representa incidencia, severidade ou risco biologico absoluto"
ACHAFU,GUM,GU,B,1.0,,,,,,,,,,,,,,,,,1.0,,0.0,0.75,,,,,True,"IEFP-T exploratorio; nao representa incidencia, severidade ou risco biologico absoluto"
ACHAFU,IDN,ID,B | X,1.0,,,,Indonesia,Tomatoes,60064.8,1132943.058,18870.16,0.01839888472098491,0.0547463557754795,0.036572620248232206,0.7772351619615411,0.7911287162066442,0.7841819390840926,,,1.0,,0.0,0.75,0.0,0.0,0.0,0.0,True,"IEFP-T exploratorio; nao representa incidencia, severidade ou risco biologico absoluto"
ACHAFU,IND,IN,B | X,1.0,,,,India,Tomatoes,841798.6,20834644.6,24752.6,0.33835259547359425,0.7672614517471222,0.5528070236103583,0.9395807800984224,0.9809517468835228,0.9602662634909727,,,1.0,,0.0,0.75,0.0,0.0,0.0,0.0,True,"IEFP-T exploratorio; nao representa incidencia, severidade ou risco biologico absoluto"
ACHAFU,ISR,IL,C,1.0,,,,Israel,Tomatoes,4887.2,328436.0,67194.16,0.005333768594591981,0.004454462346431244,0.004894115470511612,0.7081983627184615,0.6107594343811117,0.6594788985497866,,,1.0,,0.0,0.75,0.0,0.0,0.0,0.0,True,"IEFP-T exploratorio; nao representa incidencia, severidade ou risco biologico absoluto"
ACHAFU,ITA,IT,E,0.0,,,,Italy,Tomatoes,100250.0,6213584.0,61989.119999999995,0.10090799790235912,0.09137335288707894,0.09614067539471903,0.8721246532429966,0.8279584645273533,0.850041558885175,,,1.0,,0.0,0.75,0.0,0.0,0.0,0.0,False,"IEFP-T exploratorio; nao representa incidencia, severidade ou risco biologico absoluto"
