iso3,country_faostat,eppo_code,scientific_name,biological_class,distribution_status,presence_weight,regulatory_weight,production_tonnes,harvested_area_ha,host_breadth_score,geo_breadth_score,tomato_importance_score,tomato_importance_score_log,iefp_t_integrated,iefp_t_integrated_log_sensitivity,exposure_class_integrated,exposure_class_log_sensitivity
IDN,Indonesia,TSWV00,Orthotospovirus tomatomaculae,virus,B | X,1.0,1.0,1132943.058,60064.8,1.0,0.7647058823529411,0.036572620248232206,0.7841819390840926,0.02796729783688345,0.5996685416525414,alta,alta
CHN,China,CSVD00,Pospiviroid impedichrysanthemi,viroid,B | X,1.0,1.0,123061709.666,2190435.4,0.08759124087591241,0.3088235294117647,1.0,1.0,0.027050236152855307,0.027050236152855307,alta,alta
MEX,Mexico,DITYDI,Ditylenchus dipsaci,nematode,A,1.0,1.0,4263483.324,88381.8,0.47236704900938475,0.7352941176470589,0.07489728856849498,0.8350118884549125,0.026013978808753165,0.29002360414500045,alta,alta
NGA,Nigeria,TOCV00,Crinivirus tomatichlorosis,virus,B,1.0,1.0,3607373.3439999996,910056.4,0.13660062565172054,0.4264705882352941,0.4440293742929905,0.9141826086043019,0.02586744146689368,0.05325675842004145,alta,alta
IND,India,RALSPS,Ralstonia pseudosolanacearum,bacteria,A | X,1.0,1.0,20834644.6,841798.6,0.12721584984358708,0.35294117647058826,0.5528070236103583,0.9602662634909727,0.02482087599109258,0.04311567839510471,alta,alta
IND,India,MELGMY,Meloidogyne enterolobii,nematode,A | X,1.0,1.0,20834644.6,841798.6,0.1710114702815433,0.25,0.5528070236103583,0.9602662634909727,0.023634085472392794,0.041054136395338774,alta,alta
CHN,China,TORSV0,Nepovirus lycopersici,virus,B | X,1.0,1.0,123061709.666,2190435.4,0.07507820646506778,0.3088235294117647,1.0,1.0,0.023185916702447407,0.023185916702447407,alta,alta
USA,United States of America,RALSSO,Ralstonia solanacearum species complex,bacteria,B | E | X,1.0,1.0,10932903.8,112002.0,0.18248175182481752,0.8676470588235294,0.1398170308826537,0.8697782750919683,0.022137196280798004,0.1377117814255746,alta,alta
ESP,Spain,DITYDI,Ditylenchus dipsaci,nematode,B | J,1.0,1.0,4252392.0,52460.0,0.47236704900938475,0.7352941176470589,0.058436677395416504,0.8161875135645745,0.020296735922931113,0.2834853582505921,alta,alta
NGA,Nigeria,RALSPS,Ralstonia pseudosolanacearum,bacteria,A,1.0,1.0,3607373.3439999996,910056.4,0.12721584984358708,0.35294117647058826,0.4440293742929905,0.9141826086043019,0.019936790896305533,0.04104653557617304,alta,alta
