iso3,country_faostat,fao_item_name,harvested_area_ha,production_tonnes,yield_value,crop_importance_score_production,crop_importance_score_area,tomato_importance_score,crop_importance_score_production_log,crop_importance_score_area_log,tomato_importance_score_log
BGD,Bangladesh,Tomatoes,29974.4,453260.0,15111.3,0.007360898175549456,0.02732031350402453,0.017340605839786992,0.726158151414856,0.7411537121695279,0.7336559317921919
BGR,Bulgaria,Tomatoes,3198.0,120492.0,37742.840000000004,0.0019567783236294953,0.0029148327434701093,0.0024358055335498025,0.6522904196789613,0.5802748910651158,0.6162826553720385
BHR,Bahrain,Tomatoes,85.8,8650.0,101269.54000000001,0.0001404751560219362,7.820282970285658e-05,0.00010933899286239639,0.5054378933036554,0.3209328822376979,0.41318538777067665
BHS,Bahamas,Tomatoes,139.4,7583.754000000001,54403.68000000001,0.0001231594250152581,0.00012705681189485092,0.00012510811845505452,0.4981042487772265,0.3555087452432009,0.42680649701021367
BIH,Bosnia and Herzegovina,Tomatoes,3050.8,51460.4,18175.079999999998,0.0008357118750232654,0.0027806665834204532,0.0018081892292218594,0.6048568004644957,0.5768879253164928,0.5908723628904943
BLR,Belarus,Tomatoes,6869.0,321138.052,46706.219999999994,0.005215250631130712,0.006260783650686736,0.005738017140908724,0.7069455146473218,0.6352298450477523,0.671087679847537
BLZ,Belize,Tomatoes,60.4,1341.0,22480.72,2.177770915900768e-05,5.505187545515779e-05,3.841479230708274e-05,0.40153873902310544,0.2960413669375355,0.3487900529803205
BOL,Bolivia (Plurinational State of),Tomatoes,5137.2,81150.204,15808.420000000002,0.0013178713951574508,0.004682326069341665,0.003000098732249558,0.6302519463455788,0.6143457070577399,0.6222988267016594
BRA,Brazil,Tomatoes,55568.2,3965727.4,71351.28,0.06440302604109449,0.05064790770972349,0.05752546687540899,0.8470882112976056,0.7855340742554174,0.8163111427765115
BRB,Barbados,Tomatoes,40.0,738.87,18411.920000000002,1.1999176708662195e-05,3.645819566566741e-05,2.42286861871648e-05,0.368340219628635,0.2670054706388767,0.3176728451337558
