queried_on,source_endpoint,queried_eppo_code,service,continent_id,continent_name,country_iso,country_name,qlist,qlist_label,year_add,year_delete,year_transient,empty_response,eppo_code,regulated_status,regulatory_code,source_regulatory_column,regulated_status_clean,regulatory_weight_raw
2026-05-06T14:10:59.262285,/taxons/taxon/APMOV0/categorization,APMOV0,categorization,6.0,RPPO/EU,9D,COSAVE,2,A2 list,2024.0,,,,APMOV0,A2 list,2,qlist_label,a2 list,1.0
2026-05-06T14:10:59.262285,/taxons/taxon/APMOV0/categorization,APMOV0,categorization,6.0,RPPO/EU,9M,EAEU,1,A1 list,2016.0,,,,APMOV0,A1 list,1,qlist_label,a1 list,1.0
2026-05-06T14:10:59.262285,/taxons/taxon/APMOV0/categorization,APMOV0,categorization,6.0,RPPO/EU,9A,EPPO,1,A1 list,1978.0,,,,APMOV0,A1 list,1,qlist_label,a1 list,1.0
2026-05-06T14:10:59.262285,/taxons/taxon/APMOV0/categorization,APMOV0,categorization,6.0,RPPO/EU,9L,EU,N,Quarantine pest ((EU) 2019/2072 Annex II A),2019.0,,,,APMOV0,Quarantine pest ((EU) 2019/2072 Annex II A),N,qlist_label,quarantine pest ((eu) 2019/2072 annex ii a),1.0
2026-05-06T14:11:01.471607,/taxons/taxon/BCTV00/categorization,BCTV00,categorization,4.0,America,BR,Brazil,1,A1 list,2018.0,,,,BCTV00,A1 list,1,qlist_label,a1 list,1.0
2026-05-06T14:11:01.471607,/taxons/taxon/BCTV00/categorization,BCTV00,categorization,4.0,America,CA,Canada,X,Quarantine pest,2019.0,,,,BCTV00,Quarantine pest,X,qlist_label,quarantine pest,1.0
2026-05-06T14:11:01.471607,/taxons/taxon/BCTV00/categorization,BCTV00,categorization,4.0,America,CL,Chile,1,A1 list,2019.0,,,,BCTV00,A1 list,1,qlist_label,a1 list,1.0
2026-05-06T14:11:01.471607,/taxons/taxon/BCTV00/categorization,BCTV00,categorization,4.0,America,MX,Mexico,X,Quarantine pest,2018.0,,,,BCTV00,Quarantine pest,X,qlist_label,quarantine pest,1.0
2026-05-06T14:11:01.471607,/taxons/taxon/BCTV00/categorization,BCTV00,categorization,2.0,Asia,IL,Israel,X,Quarantine pest,2009.0,,,,BCTV00,Quarantine pest,X,qlist_label,quarantine pest,1.0
2026-05-06T14:11:01.471607,/taxons/taxon/BCTV00/categorization,BCTV00,categorization,2.0,Asia,JO,Jordan,1,A1 list,2013.0,,,,BCTV00,A1 list,1,qlist_label,a1 list,1.0
2026-05-06T14:11:01.471607,/taxons/taxon/BCTV00/categorization,BCTV00,categorization,1.0,Europe,RS,Serbia,1,A1 list,2015.0,,,,BCTV00,A1 list,1,qlist_label,a1 list,1.0
2026-05-06T14:11:01.471607,/taxons/taxon/BCTV00/categorization,BCTV00,categorization,1.0,Europe,CH,Switzerland,1,A1 list,2019.0,,,,BCTV00,A1 list,1,qlist_label,a1 list,1.0
2026-05-06T14:11:01.471607,/taxons/taxon/BCTV00/categorization,BCTV00,categorization,1.0,Europe,TR,Türkiye,1,A1 list,2016.0,,,,BCTV00,A1 list,1,qlist_label,a1 list,1.0
2026-05-06T14:11:01.471607,/taxons/taxon/BCTV00/categorization,BCTV00,categorization,1.0,Europe,GB,United Kingdom,1,A1 list,2020.0,,,,BCTV00,A1 list,1,qlist_label,a1 list,1.0
2026-05-06T14:11:01.471607,/taxons/taxon/BCTV00/categorization,BCTV00,categorization,6.0,RPPO/EU,9D,COSAVE,2,A2 list,2021.0,,,,BCTV00,A2 list,2,qlist_label,a2 list,1.0
2026-05-06T14:11:01.471607,/taxons/taxon/BCTV00/categorization,BCTV00,categorization,6.0,RPPO/EU,9A,EPPO,Z,A1/A2 (formerly),1975.0,1984.0,,,BCTV00,A1/A2 (formerly),Z,qlist_label,a1/a2 (formerly),1.0
2026-05-06T14:11:01.471607,/taxons/taxon/BCTV00/categorization,BCTV00,categorization,6.0,RPPO/EU,9L,EU,N,Quarantine pest ((EU) 2019/2072 Annex II A),2019.0,,,,BCTV00,Quarantine pest ((EU) 2019/2072 Annex II A),N,qlist_label,quarantine pest ((eu) 2019/2072 annex ii a),1.0
2026-05-06T14:11:02.212654,/taxons/taxon/CBCVD0/categorization,CBCVD0,categorization,3.0,Africa,MA,Morocco,X,Quarantine pest,2018.0,,,,CBCVD0,Quarantine pest,X,qlist_label,quarantine pest,1.0
2026-05-06T14:11:02.212654,/taxons/taxon/CBCVD0/categorization,CBCVD0,categorization,2.0,Asia,JO,Jordan,1,A1 list,2013.0,,,,CBCVD0,A1 list,1,qlist_label,a1 list,1.0
