iso3,country_faostat,fao_item_name,harvested_area_ha,production_tonnes,yield_value
MAR,Morocco,Tomatoes,15120.2,1445713.48,95478.73999999999
MDA,Republic of Moldova,Tomatoes,5565.4,34950.6,6207.26
MDG,Madagascar,Tomatoes,4917.6,40901.966,8317.16
MDV,Maldives,Tomatoes,14.2,233.42600000000002,16127.939999999999
MEX,Mexico,Tomatoes,88381.8,4263483.324,48260.6
MKD,North Macedonia,Tomatoes,5579.2,138509.2,24857.079999999998
MLI,Mali,Tomatoes,13073.8,238430.38999999998,18239.420000000002
MLT,Malta,Tomatoes,,8624.0,
MNE,Montenegro,Tomatoes,111.4,3576.4199999999996,33025.0
MNG,Mongolia,Tomatoes,233.6,2143.222,9275.82
MOZ,Mozambique,Tomatoes,51855.6,1219165.116,23381.9
MUS,Mauritius,Tomatoes,597.4,15044.439999999999,25504.760000000002
MWI,Malawi,Tomatoes,28190.6,705687.922,25297.120000000003
MYS,Malaysia,Tomatoes,2178.0,204223.694,93895.16
NAM,Namibia,Tomatoes,1421.2,8846.566,6224.24
NER,Niger,Tomatoes,18771.0,511910.412,27387.74
NGA,Nigeria,Tomatoes,910056.4,3607373.3439999996,3995.9
NIC,Nicaragua,Tomatoes,1650.0,84830.265,51366.825000000004
NLD,Netherlands (Kingdom of the),Tomatoes,1808.0,822896.0,454888.66
NOR,Norway,Tomatoes,39.2,14262.0,363652.27999999997
NRU,Nauru,Tomatoes,0.0,0.46799999999999997,12061.98
NZL,New Zealand,Tomatoes,435.8,51398.490000000005,118064.38
OMN,Oman,Tomatoes,3196.4,277596.8,86354.78
PAK,Pakistan,Tomatoes,65728.4,749874.0,11378.539999999999
PAN,Panama,Tomatoes,681.4,22177.8,32553.579999999998
PER,Peru,Tomatoes,5347.0,230072.7,42966.68
PHL,Philippines,Tomatoes,15548.2,218742.69,14103.179999999998
PNG,Papua New Guinea,Tomatoes,134.4,547.42,4071.1400000000003
POL,Poland,Tomatoes,7860.0,854300.0,108816.42
PRI,Puerto Rico,Tomatoes,338.4,19674.174,58120.240000000005
PRK,Democratic People's Republic of Korea,Tomatoes,8517.4,66482.052,7805.38
PRT,Portugal,Tomatoes,17432.0,1665262.0,95488.74
PRY,Paraguay,Tomatoes,1491.0,50436.65,34080.44
PSE,Palestine,Tomatoes,1461.6666666666667,261614.0,183149.16666666666
PYF,French Polynesia,Tomatoes,48.8,843.266,17296.96
QAT,Qatar,Tomatoes,393.8,30662.354,77943.0
ROU,Romania,Tomatoes,17648.0,361214.0,20444.16
RUS,Russian Federation,Tomatoes,77921.4,2869625.836,36869.42
RWA,Rwanda,Tomatoes,10787.0,85999.554,8018.960000000001
SAU,Saudi Arabia,Tomatoes,15228.6,650524.858,42687.08
SDN,Sudan,Tomatoes,47358.2,644707.384,13613.5
SEN,Senegal,Tomatoes,8160.2,150450.6,18583.239999999998
SGP,Singapore,Tomatoes,1.8,15.989999999999998,8081.12
SLE,Sierra Leone,Tomatoes,2297.2,20013.674,8714.82
SLV,El Salvador,Tomatoes,427.2,22799.872,53793.259999999995
SOM,Somalia,Tomatoes,4793.0,7234.0,1509.6200000000001
SRB,Serbia,Tomatoes,7620.6,135349.66999999998,17756.16
SUR,Suriname,Tomatoes,44.2,650.8979999999999,14790.34
SVK,Slovakia,Tomatoes,232.0,18388.0,79190.51999999999
SVN,Slovenia,Tomatoes,218.0,9458.0,43568.68
SWE,Sweden,Tomatoes,44.0,17480.0,401830.0
SWZ,Eswatini,Tomatoes,414.2,5461.096,13186.0
SYC,Seychelles,Tomatoes,68.6,450.264,6558.539999999999
SYR,Syrian Arab Republic,Tomatoes,13918.8,742004.38,53529.7
TGO,Togo,Tomatoes,1220.6,5185.994000000001,4249.42
THA,Thailand,Tomatoes,6287.6,135453.0,21621.8
TJK,Tajikistan,Tomatoes,15604.0,459279.77999999997,29432.78
TKM,Turkmenistan,Tomatoes,10323.6,351732.70599999995,34076.06
